height,width,example,answer,ans_mod10,tree_sig,ans_sublabels
5,17,(*2(+(*(*78)7)0)),784,4,(od(o(o(odd)d)d)),___________6_2_24
4,13,(*2(+1(+00))),2,2,(od(od(odd))),__________012
4,17,(*(*44)(*(+00)0)),0,0,(o(odd)(o(odd)d)),______6______0_00
1,1,2,2,2,d,_
2,5,(+97),16,6,(odd),____6
5,17,(*2(+(*(*00)0)7)),14,4,(od(o(o(odd)d)d)),___________0_0_74
4,13,(+(*8(*72))6),118,8,(o(od(odd))d),_________42_8
2,5,(+11),2,2,(odd),____2
1,1,6,6,6,d,_
4,13,(+(*1(*85))6),46,6,(o(od(odd))d),_________00_6
1,1,4,4,4,d,_
3,9,(*3(+33)),18,8,(od(odd)),_______68
5,17,(*(+1(+(*84)9))9),378,8,(o(od(o(odd)d))d),___________2_12_8
9,45,(+(*7(*55))(*9(*0(*(*5(+8(+(+68)(*92))))5)))),175,5,(o(od(odd))(od(od(o(od(od(o(odd)(odd))))d)))),_________55____________________4____8200_0005
5,17,(*(*1(*(*02)9))4),0,0,(o(od(o(odd)d))d),___________0_00_0
2,5,(+44),8,8,(odd),____8
8,37,(*(+91)(+0(+(+5(*(*(+98)0)(*94)))4))),90,0,(o(odd)(od(o(od(o(o(odd)d)(odd)))d))),______0________________7_0____605_990
1,1,9,9,9,d,_
2,5,(+77),14,4,(odd),____4
1,1,5,5,5,d,_
2,5,(+15),6,6,(odd),____6
2,5,(+00),0,0,(odd),____0
2,5,(+55),10,0,(odd),____0
4,13,(*8(+7(+05))),96,6,(od(od(odd))),__________526
5,17,(+(+1(+(+84)9))9),31,1,(o(od(o(odd)d))d),___________2_12_1
3,9,(+(+10)0),1,1,(o(odd)d),______1_1
2,5,(*00),0,0,(odd),____0
1,1,3,3,3,d,_
4,13,(*6(+1(*00))),6,6,(od(od(odd))),__________016
6,29,(*(*5(+(*88)(+4(*84))))(*58)),20000,0,(o(od(o(odd)(od(odd))))(odd)),___________4_______2600____00
1,1,8,8,8,d,_
1,1,7,7,7,d,_
1,1,4,4,4,d,_
3,9,(+1(+54)),10,0,(od(odd)),_______90
6,29,(*(*0(+(*88)(+4(*84))))(*58)),0,0,(o(od(o(odd)(od(odd))))(odd)),___________4_______2600____00
4,17,(*(*04)(*(+00)0)),0,0,(o(odd)(o(odd)d)),______0______0_00
1,1,7,7,7,d,_
9,45,(+(*7(*75))(*9(*0(*(*5(+8(+(+68)(*92))))5)))),245,5,(o(od(odd))(od(od(o(od(od(o(odd)(odd))))d)))),_________55____________________4____8200_0005
2,5,(*23),6,6,(odd),____6
3,13,(*(*00)(*04)),0,0,(o(odd)(odd)),______0____00
3,13,(+(+54)(+03)),12,2,(o(odd)(odd)),______9____32
6,29,(+(*(*90)(+(*(+50)0)(+34)))5),5,5,(o(o(odd)(o(o(odd)d)(odd)))d),________0________5_0____770_5
4,17,(+(*(*72)(*72))6),202,2,(o(o(odd)(odd))d),________4____46_2
1,1,3,3,3,d,_
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
2,5,(*44),16,6,(odd),____6
2,5,(+65),11,1,(odd),____1
1,1,0,0,0,d,_
1,1,4,4,4,d,_
2,5,(*11),1,1,(odd),____1
2,5,(+14),5,5,(odd),____5
4,13,(*(+(*70)1)2),2,2,(o(o(odd)d)d),________0_1_2
2,5,(+02),2,2,(odd),____2
4,17,(*(*49)(*4(+63))),1296,6,(o(odd)(od(odd))),______6_______966
3,13,(+(+03)(+03)),6,6,(o(odd)(odd)),______3____36
1,1,5,5,5,d,_
3,9,(+(+54)0),9,9,(o(odd)d),______9_9
9,45,(+(*7(*50))(*9(*0(*(*5(+8(+(+68)(*92))))5)))),0,0,(o(od(odd))(od(od(o(od(od(o(odd)(odd))))d)))),_________00____________________4____8200_0000
3,9,(+(+11)0),2,2,(o(odd)d),______2_2
3,13,(+(+53)(+03)),11,1,(o(odd)(odd)),______8____31
1,1,1,1,1,d,_
3,9,(*3(+13)),12,2,(od(odd)),_______42
4,13,(*(+(+07)0)1),7,7,(o(o(odd)d)d),________7_7_7
3,9,(+0(*78)),56,6,(od(odd)),_______66
3,13,(*(+03)(+03)),9,9,(o(odd)(odd)),______3____39
5,17,(+(+1(+(*84)9))9),51,1,(o(od(o(odd)d))d),___________2_12_1
3,9,(*(+88)1),16,6,(o(odd)d),______6_6
4,17,(*(*44)(*(+10)0)),0,0,(o(odd)(o(odd)d)),______6______1_00
2,5,(+17),8,8,(odd),____8
3,13,(*(*04)(*04)),0,0,(o(odd)(odd)),______0____00
2,5,(*20),0,0,(odd),____0
2,5,(+02),2,2,(odd),____2
6,29,(*(+(*7(*4(*78)))(+7(+13)))7),11053,3,(o(o(od(od(odd)))(od(odd)))d),______________648_______419_3
3,9,(*(+00)0),0,0,(o(odd)d),______0_0
3,9,(+0(+03)),3,3,(od(odd)),_______33
3,9,(*2(*48)),64,4,(od(odd)),_______24
4,13,(*(+1(+00))0),0,0,(o(od(odd))d),_________01_0
3,9,(*(+37)0),0,0,(o(odd)d),______0_0
5,17,(+0(+8(+6(*12)))),16,6,(od(od(od(odd)))),_____________2866
1,1,8,8,8,d,_
4,13,(+(*4(+55))4),44,4,(o(od(odd))d),_________00_4
3,9,(*6(+61)),42,2,(od(odd)),_______72
5,17,(*(*2(*5(+84)))5),600,0,(o(od(od(odd)))d),____________200_0
3,9,(*(+33)9),54,4,(o(odd)d),______6_4
6,21,(*(+(*(+1(*00))0)1)0),0,0,(o(o(o(od(odd))d)d)d),_____________01_0_1_0
5,21,(+0(+8(+(*01)(*11)))),9,9,(od(od(o(odd)(odd)))),____________0____1199
4,17,(*(*(+93)0)(+82)),0,0,(o(o(odd)d)(odd)),________2_0____00
9,57,(*(+33)(+(*5(+(+(+(*(*02)(*64))4)7)7))(*0(+5(+(*27)2))))),540,0,(o(odd)(o(od(o(o(o(o(odd)(odd))d)d)d))(od(od(o(odd)d))))),______6_________________0____40_4_1_80____________4_61000
9,45,(*1(+(+5(*1(+(+(+(+37)7)6)(+04))))(+(+97)2))),50,0,(od(o(od(od(o(o(o(odd)d)d)(odd))))(o(odd)d))),_____________________0_7_3____4772______6_800
3,9,(*(*86)9),432,2,(o(odd)d),______8_2
5,25,(*(+(*5(+77))3)(*6(*13))),1314,4,(o(o(od(odd))d)(od(odd))),___________40_3_______384
1,1,2,2,2,d,_
3,9,(*(*37)0),0,0,(o(odd)d),______1_0
1,1,0,0,0,d,_
6,33,(*0(*(+7(+0(+01)))(+(*04)(*08)))),0,0,(od(o(od(od(odd)))(o(odd)(odd)))),_______________118______0____0000
2,5,(*84),32,2,(odd),____2
4,17,(*(+1(+00))(+00)),0,0,(o(od(odd))(odd)),_________01____00
4,17,(*(*(+93)0)(+82)),0,0,(o(o(odd)d)(odd)),________2_0____00
1,1,6,6,6,d,_
3,9,(*2(*48)),64,4,(od(odd)),_______24
5,17,(+(*(*4(+36))0)3),3,3,(o(o(od(odd))d)d),___________96_0_3
1,1,2,2,2,d,_
2,5,(*12),2,2,(odd),____2
2,5,(+00),0,0,(odd),____0
1,1,8,8,8,d,_
4,13,(+(*0(+55))4),4,4,(o(od(odd))d),_________00_4
1,1,9,9,9,d,_
2,5,(*88),64,4,(odd),____4
4,17,(*0(*(+70)(+01))),0,0,(od(o(odd)(odd))),_________7____170
2,5,(+06),6,6,(odd),____6
3,9,(+(+82)1),11,1,(o(odd)d),______0_1
4,13,(*0(+6(+88))),0,0,(od(od(odd))),__________620
1,1,4,4,4,d,_
5,21,(+0(+8(+(*01)(*01)))),8,8,(od(od(o(odd)(odd)))),____________0____0088
1,1,0,0,0,d,_
3,13,(*(+04)(*25)),40,0,(o(odd)(odd)),______4____00
6,25,(+(+(+(+43)(*6(*00)))0)1),8,8,(o(o(o(odd)(od(odd)))d)d),__________7_______007_7_8
4,13,(+(*(*03)6)0),0,0,(o(o(odd)d)d),________0_0_0
9,45,(*7(*(+49)(+(*1(+6(*(+(+25)8)(+(+61)8))))7))),21658,8,(od(o(odd)(o(od(od(o(o(odd)d)(o(odd)d))))d))),_________3________________7_5______7_5511_848
4,21,(*(+6(+88))(+6(+88))),484,4,(o(od(odd))(od(odd))),_________62_______624
3,9,(*4(+07)),28,8,(od(odd)),_______78
2,5,(+44),8,8,(odd),____8
4,17,(*0(*(+00)(+00))),0,0,(od(o(odd)(odd))),_________0____000
5,17,(+(*2(*5(+84)))5),125,5,(o(od(od(odd)))d),____________200_5
4,13,(+(*0(+53))4),4,4,(o(od(odd))d),_________80_4
1,1,7,7,7,d,_
3,9,(+(+00)8),8,8,(o(odd)d),______0_8
3,9,(+0(+01)),1,1,(od(odd)),_______11
1,1,1,1,1,d,_
6,29,(*(+(*0(*4(*78)))(+7(+13)))7),77,7,(o(o(od(od(odd)))(od(odd)))d),______________640_______411_7
9,41,(+2(+(+(*1(*(+(+(+78)(*10))1)9))(*98))6)),224,4,(od(o(o(od(o(o(o(odd)(odd))d)d))(odd))d)),____________________5____05_6_44____26_24
1,1,3,3,3,d,_
5,21,(+0(+8(+(*01)(*00)))),8,8,(od(od(o(odd)(odd)))),____________0____0088
3,9,(+(+10)8),9,9,(o(odd)d),______1_9
4,17,(*(+1(+00))(+01)),1,1,(o(od(odd))(odd)),_________01____11
1,1,1,1,1,d,_
3,9,(*(*88)9),576,6,(o(odd)d),______4_6
3,9,(*4(*83)),96,6,(od(odd)),_______46
3,9,(*4(+00)),0,0,(od(odd)),_______00
3,9,(*2(+48)),24,4,(od(odd)),_______24
9,45,(*7(*(*49)(+(*1(+6(*(+(+25)8)(+(+61)8))))7))),59976,6,(od(o(odd)(o(od(od(o(o(odd)d)(o(odd)d))))d))),_________6________________7_5______7_5511_886
3,9,(*(+00)8),0,0,(o(odd)d),______0_0
8,49,(*(+(*(+0(*(+00)1))(+05))(+4(*(*8(*8(*40)))8)))9),36,6,(o(o(o(od(o(odd)d))(odd))(od(o(od(od(odd)))d)))d),_______________0_00____50_______________000_044_6
2,5,(*44),16,6,(odd),____6
2,5,(*86),48,8,(odd),____8
2,5,(*00),0,0,(odd),____0
1,1,5,5,5,d,_
3,9,(+(+10)0),1,1,(o(odd)d),______1_1
6,25,(*(+(*7(*(*77)(*70)))7)1),7,7,(o(o(od(o(odd)(odd)))d)d),_____________9____000_7_7
3,9,(*(+33)0),0,0,(o(odd)d),______6_0
2,5,(*22),4,4,(odd),____4
4,13,(*0(+6(+88))),0,0,(od(od(odd))),__________620
8,57,(*(+(+(+11)5)(+(+(+(*(*02)(*64))4)7)7))(*0(+5(+(*27)2)))),0,0,(o(o(o(odd)d)(o(o(o(o(odd)(odd))d)d)d))(od(od(o(odd)d)))),__________2_7____________0____40_4_1_85____________4_6100
2,5,(+39),12,2,(odd),____2
6,33,(*(+(*7(*(*77)(*78)))(+71))(+01)),19216,6,(o(o(od(o(odd)(odd)))(odd))(odd)),_____________9____648____86____16
5,17,(+0(+8(+6(*01)))),14,4,(od(od(od(odd)))),_____________0644
6,21,(*0(*(+7(+0(+00)))1)),0,0,(od(o(od(od(odd)))d)),_______________007_70
2,5,(+30),3,3,(odd),____3
1,1,1,1,1,d,_
8,49,(*(+(*(+0(*(+00)1))(+05))(+4(*(*8(*8(*40)))8)))9),36,6,(o(o(o(od(o(odd)d))(odd))(od(o(od(od(odd)))d)))d),_______________0_00____50_______________000_044_6
1,1,5,5,5,d,_
1,1,9,9,9,d,_
5,17,(+(+1(*1(*05)))1),2,2,(o(od(od(odd)))d),____________001_2
3,9,(*(+00)2),0,0,(o(odd)d),______0_0
1,1,0,0,0,d,_
2,5,(*07),0,0,(odd),____0
3,9,(+(+51)5),11,1,(o(odd)d),______6_1
1,1,2,2,2,d,_
6,33,(*(+(*00)2)(*(*(+(*75)4)(+09))7)),4914,4,(o(o(odd)d)(o(o(o(odd)d)(odd))d)),________0_2__________5_9____91_74
2,5,(+91),10,0,(odd),____0
3,9,(*(*67)1),42,2,(o(odd)d),______2_2
3,9,(*(+00)2),0,0,(o(odd)d),______0_0
3,9,(*(*00)5),0,0,(o(odd)d),______0_0
3,9,(*(+51)5),30,0,(o(odd)d),______6_0
3,13,(+(*44)(+25)),23,3,(o(odd)(odd)),______6____73
2,5,(*75),35,5,(odd),____5
3,9,(+(+11)0),2,2,(o(odd)d),______2_2
1,1,7,7,7,d,_
1,1,7,7,7,d,_
3,13,(*(*11)(*11)),1,1,(o(odd)(odd)),______1____11
5,17,(+(+1(*1(*00)))1),2,2,(o(od(od(odd)))d),____________001_2
3,9,(+3(+33)),9,9,(od(odd)),_______69
2,5,(*66),36,6,(odd),____6
3,9,(+7(*15)),12,2,(od(odd)),_______52
2,5,(*00),0,0,(odd),____0
2,5,(*36),18,8,(odd),____8
3,13,(*(*00)(*00)),0,0,(o(odd)(odd)),______0____00
3,9,(*(*04)5),0,0,(o(odd)d),______0_0
8,41,(+2(*(*(+37)(*(+09)(+(+8(+62))1)))(*76))),64262,2,(od(o(o(odd)(o(odd)(o(od(odd))d)))(odd))),___________0______9_________86_730____202
4,13,(*(+(*00)1)4),4,4,(o(o(odd)d)d),________0_1_4
4,13,(*0(*6(*51))),0,0,(od(od(odd))),__________500
1,1,1,1,1,d,_
6,21,(*6(+2(+8(*(+36)8)))),492,2,(od(od(od(o(odd)d)))),_______________9_2022
3,9,(*7(+00)),0,0,(od(odd)),_______00
3,9,(*3(+22)),12,2,(od(odd)),_______42
3,9,(+(*23)7),13,3,(o(odd)d),______6_3
6,33,(*(*(+(*3(*36))(*54))(+(+70)5))7),6216,6,(o(o(o(od(odd))(odd))(o(odd)d))d),_____________84____04______7_28_6
3,9,(+(+11)1),3,3,(o(odd)d),______2_3
6,25,(*(+33)(+(+6(+(*30)0))3)),54,4,(o(odd)(o(od(o(odd)d))d)),______6___________0_06_94
3,9,(*7(*15)),35,5,(od(odd)),_______55
2,5,(+11),2,2,(odd),____2
1,1,5,5,5,d,_
2,5,(*00),0,0,(odd),____0
1,1,4,4,4,d,_
1,1,6,6,6,d,_
2,5,(*77),49,9,(odd),____9
2,5,(+09),9,9,(odd),____9
2,5,(+00),0,0,(odd),____0
3,9,(*7(+77)),98,8,(od(odd)),_______48
1,1,0,0,0,d,_
2,5,(*32),6,6,(odd),____6
3,13,(+(*44)(+45)),25,5,(o(odd)(odd)),______6____95
4,17,(+(+72)(*0(+85))),9,9,(o(odd)(od(odd))),______9_______309
3,9,(*7(+72)),63,3,(od(odd)),_______93
3,13,(+(*44)(+44)),24,4,(o(odd)(odd)),______6____84
8,53,(+(+3(*(+(+16)(*61))(+(+(+1(+97))7)(+4(+(*04)2)))))2),395,5,(o(od(o(o(odd)(odd))(o(o(od(odd))d)(od(o(odd)d)))))d),_____________7____63___________67_4_________0_26003_5
3,9,(*(+20)0),0,0,(o(odd)d),______2_0
1,1,8,8,8,d,_
7,33,(*7(+(*7(+(*2(*46))(*13)))(*05))),2499,9,(od(o(od(o(od(odd))(odd)))(odd))),_________________48____317____079
2,5,(+14),5,5,(odd),____5
3,9,(*(+51)9),54,4,(o(odd)d),______6_4
2,5,(+44),8,8,(odd),____8
3,9,(+(+23)7),12,2,(o(odd)d),______5_2
1,1,3,3,3,d,_
3,9,(*3(+82)),30,0,(od(odd)),_______00
2,5,(+99),18,8,(odd),____8
3,9,(+(+51)0),6,6,(o(odd)d),______6_6
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
10,65,(*(+(+5(*(*(+(+1(*(*06)5))(*(*77)0))2)(+1(+(*12)(*7(+11))))))6)1),45,5,(o(o(od(o(o(o(od(o(odd)d))(o(odd)d))d)(od(o(odd)(od(odd))))))d)d),______________________0_01______9_01_2_________2_______246749_5_5
2,5,(+03),3,3,(odd),____3
3,9,(*3(+66)),36,6,(od(odd)),_______26
3,9,(*9(+59)),126,6,(od(odd)),_______46
3,9,(*7(*11)),7,7,(od(odd)),_______17
3,9,(+(+33)7),13,3,(o(odd)d),______6_3
2,5,(*99),81,1,(odd),____1
3,9,(*9(+99)),162,2,(od(odd)),_______82
3,9,(*(*00)1),0,0,(o(odd)d),______0_0
2,5,(+01),1,1,(odd),____1
1,1,1,1,1,d,_
1,1,0,0,0,d,_
1,1,2,2,2,d,_
1,1,0,0,0,d,_
9,61,(+(+3(*(+(*6(*61))(+(+(+1(+97))7)(+4(+(*04)2))))2))(*9(+24))),189,9,(o(od(o(o(od(odd))(o(o(od(odd))d)(od(o(odd)d))))d))(od(odd))),________________66___________67_4_________0_2606_25_______649
9,61,(*(+(+1(*(+(+1(*(*06)5))(*(*77)0))2))(+1(+(*12)(*7(+11)))))6),120,0,(o(o(od(o(o(od(o(odd)d))(o(odd)d))d))(od(o(odd)(od(odd)))))d),____________________0_01______9_01_23_________2_______24670_0
1,1,4,4,4,d,_
3,13,(+(*22)(*02)),4,4,(o(odd)(odd)),______4____04
2,5,(*00),0,0,(odd),____0
3,9,(+(*00)0),0,0,(o(odd)d),______0_0
3,9,(*(+89)5),85,5,(o(odd)d),______7_5
4,13,(*(+8(+61))6),90,0,(o(od(odd))d),_________75_0
5,21,(+9(*2(*(+93)(+23)))),129,9,(od(od(o(odd)(odd)))),____________2____5009
7,29,(*0(+5(+(+(+10)(*(+88)5))7))),0,0,(od(od(o(o(odd)(o(odd)d))d))),______________1______6_01_830
3,13,(+(+18)(*02)),9,9,(o(odd)(odd)),______9____09
2,5,(+44),8,8,(odd),____8
5,33,(+(+(*7(*21))3)(+(*9(+14))(+31))),66,6,(o(o(od(odd))d)(o(od(odd))(odd))),___________24_7_________55____496
2,5,(+22),4,4,(odd),____4
3,9,(+(+70)8),15,5,(o(odd)d),______7_5
2,5,(+99),18,8,(odd),____8
2,5,(+11),2,2,(odd),____2
3,13,(+(*02)(*02)),0,0,(o(odd)(odd)),______0____00
6,21,(+3(*2(+0(*(*93)5)))),273,3,(od(od(od(o(odd)d)))),_______________7_5503
2,5,(*12),2,2,(odd),____2
2,5,(+55),10,0,(odd),____0
1,1,0,0,0,d,_
2,5,(+00),0,0,(odd),____0
5,21,(+0(+2(*(+93)(+23)))),62,2,(od(od(o(odd)(odd)))),____________2____5022
5,21,(+9(+2(*(+93)(+23)))),71,1,(od(od(o(odd)(odd)))),____________2____5021
6,21,(+4(+(+4(*(+01)0))0)),8,8,(od(o(od(o(odd)d))d)),______________1_04_48
3,9,(*(*30)4),0,0,(o(odd)d),______0_0
3,9,(+0(+22)),4,4,(od(odd)),_______44
4,13,(*(*0(+08))8),0,0,(o(od(odd))d),_________80_0
1,1,3,3,3,d,_
1,1,9,9,9,d,_
6,21,(+3(*2(+5(*(*93)5)))),283,3,(od(od(od(o(odd)d)))),_______________7_5003
4,13,(+4(+(+41)0)),9,9,(od(o(odd)d)),_________5_59
2,5,(*10),0,0,(odd),____0
2,5,(+91),10,0,(odd),____0
4,13,(+(+0(+44))0),8,8,(o(od(odd))d),_________88_8
3,9,(*(*89)5),360,0,(o(odd)d),______2_0
3,9,(*(*00)0),0,0,(o(odd)d),______0_0
2,5,(*40),0,0,(odd),____0
2,5,(+60),6,6,(odd),____6
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
4,13,(*(*8(+61))6),336,6,(o(od(odd))d),_________76_6
1,1,0,0,0,d,_
1,1,2,2,2,d,_
1,1,7,7,7,d,_
5,29,(+(*(*0(+58))4)(*4(*1(*88)))),256,6,(o(o(od(odd))d)(od(od(odd)))),___________30_0__________4466
1,1,8,8,8,d,_
4,13,(*(+8(+11))7),70,0,(o(od(odd))d),_________20_0
2,5,(*00),0,0,(odd),____0
1,1,3,3,3,d,_
2,5,(*94),36,6,(odd),____6
3,9,(*(+70)8),56,6,(o(odd)d),______7_6
3,9,(*4(+57)),48,8,(od(odd)),_______28
3,9,(+(+90)9),18,8,(o(odd)d),______9_8
2,5,(+53),8,8,(odd),____8
3,9,(+0(+00)),0,0,(od(odd)),_______00
3,9,(*2(*40)),0,0,(od(odd)),_______00
2,5,(+96),15,5,(odd),____5
5,21,(*0(*(*7(*16))(+71))),0,0,(od(o(od(odd))(odd))),____________62____860
4,13,(+4(+(+44)0)),12,2,(od(o(odd)d)),_________8_82
2,5,(*22),4,4,(odd),____4
8,29,(+4(+(+4(*(+(*0(+03))3)6))2)),28,8,(od(o(od(o(o(od(odd))d)d))d)),___________________30_3_82_48
1,1,5,5,5,d,_
3,9,(*(*01)0),0,0,(o(odd)d),______0_0
3,9,(*2(*00)),0,0,(od(odd)),_______00
1,1,0,0,0,d,_
3,9,(*0(*00)),0,0,(od(odd)),_______00
2,5,(+22),4,4,(odd),____4
2,5,(+21),3,3,(odd),____3
3,9,(*(*01)8),0,0,(o(odd)d),______0_0
1,1,8,8,8,d,_
4,17,(*(+08)(*(+00)6)),0,0,(o(odd)(o(odd)d)),______8______0_00
3,9,(*(*00)4),0,0,(o(odd)d),______0_0
3,9,(+(*31)3),6,6,(o(odd)d),______3_6
4,13,(*(+(+06)1)6),42,2,(o(o(odd)d)d),________6_7_2
2,5,(+61),7,7,(odd),____7
5,21,(*0(*(*7(*66))(+71))),0,0,(od(o(od(odd))(odd))),____________62____860
3,9,(+(+00)0),0,0,(o(odd)d),______0_0
1,1,5,5,5,d,_
6,21,(+4(+(+4(*7(+56)))7)),92,2,(od(o(od(od(odd)))d)),_______________171_82
1,1,7,7,7,d,_
3,9,(*(*11)8),8,8,(o(odd)d),______1_8
2,5,(+00),0,0,(odd),____0
1,1,6,6,6,d,_
4,13,(*(+8(+21))7),77,7,(o(od(odd))d),_________31_7
1,1,1,1,1,d,_
5,17,(+7(*(+(*79)1)9)),583,3,(od(o(o(odd)d)d)),___________3_4_63
2,5,(+55),10,0,(odd),____0
8,37,(+(+2(+8(*(+(+85)7)(*(*(*20)0)8))))0),10,0,(o(od(od(o(o(odd)d)(o(o(odd)d)d))))d),________________3_0________0_0_0080_0
8,41,(+(+2(+(+(+(*(*00)7)7)(+0(+73)))0))(*66)),55,5,(o(od(o(o(o(o(odd)d)d)(od(odd)))d))(odd)),_________________0_0_7_______007_79____65
3,9,(*(+22)8),32,2,(o(odd)d),______4_2
4,13,(*(+6(*99))4),348,8,(o(od(odd))d),_________17_8
3,9,(*(+20)8),16,6,(o(odd)d),______2_6
3,9,(*(+00)0),0,0,(o(odd)d),______0_0
1,1,7,7,7,d,_
2,5,(*29),18,8,(odd),____8
7,25,(+4(+(*(*4(*(+71)4))4)9)),525,5,(od(o(o(od(o(odd)d))d)d)),________________8_28_2_15
2,5,(+65),11,1,(odd),____1
1,1,9,9,9,d,_
8,41,(+(+2(+(+(+(*(*00)7)7)(+0(+73)))0))(*26)),31,1,(o(od(o(o(o(o(odd)d)d)(od(odd)))d))(odd)),_________________0_0_7_______007_79____21
6,33,(*(+6(*(+(+04)(*02))4))(+(+03)1)),88,8,(o(od(o(o(odd)(odd))d))(o(odd)d)),_____________4____04_62______3_48
2,5,(*26),12,2,(odd),____2
1,1,1,1,1,d,_
1,1,2,2,2,d,_
2,5,(*27),14,4,(odd),____4
5,25,(*(*(*(+22)(*96))1)(+59)),3024,4,(o(o(o(odd)(odd))d)(odd)),__________4____46_6____44
2,5,(*79),63,3,(odd),____3
7,29,(+4(+(*(*(+04)(*0(+00)))4)9)),13,3,(od(o(o(o(odd)(od(odd)))d)d)),_____________4_______000_0_93
3,9,(+2(*17)),9,9,(od(odd)),_______79
7,29,(+4(+(*(*(+04)(*0(+04)))4)9)),13,3,(od(o(o(o(odd)(od(odd)))d)d)),_____________4_______400_0_93
4,13,(+(*(+09)0)0),0,0,(o(o(odd)d)d),________9_0_0
4,13,(*5(*9(*01))),0,0,(od(od(odd))),__________000
1,1,6,6,6,d,_
2,5,(+98),17,7,(odd),____7
2,5,(*72),14,4,(odd),____4
8,41,(+(+2(+(+1(*(+0(+77))(+0(+73))))0))(*66)),179,9,(o(od(o(od(o(od(odd))(od(odd))))d))(odd)),___________________44_______0001_13____69
4,21,(*(*(*81)5)(+(*79)3)),2640,0,(o(o(odd)d)(o(odd)d)),________8_0______3_60
2,5,(*39),27,7,(odd),____7
2,5,(+99),18,8,(odd),____8
4,13,(+(*(+00)0)0),0,0,(o(o(odd)d)d),________0_0_0
4,13,(*(+6(*69))4),240,0,(o(od(odd))d),_________40_0
2,5,(+56),11,1,(odd),____1
6,45,(*(+6(*(+(+04)(*02))(+(+04)(*02))))(+(+03)1)),88,8,(o(od(o(o(odd)(odd))(o(odd)(odd))))(o(odd)d)),_____________4____04______4____0462______3_48
2,5,(+04),4,4,(odd),____4
9,53,(*(+(+1(*(+05)(+(+3(+(+60)1))(*1(+15)))))(*(+88)0))2),162,2,(o(o(od(o(odd)(o(od(o(odd)d))(od(odd)))))(o(odd)d))d),_____________5___________6_70_______66601______6_01_2
2,5,(+75),12,2,(odd),____2
8,33,(+(+2(+(+1(*0(+0(+73))))0))(*66)),39,9,(o(od(o(od(od(od(odd))))d))(odd)),____________________0001_13____69
1,1,3,3,3,d,_
3,9,(*5(*90)),0,0,(od(odd)),_______00
3,9,(+2(*77)),51,1,(od(odd)),_______91
3,9,(*2(*56)),60,0,(od(odd)),_______00
4,17,(*(+(*43)1)(+88)),208,8,(o(o(odd)d)(odd)),________2_3____68
1,1,1,1,1,d,_
4,13,(+(*0(+90))0),0,0,(o(od(odd))d),_________90_0
3,9,(+(*01)3),3,3,(o(odd)d),______0_3
3,9,(+(*01)9),9,9,(o(odd)d),______0_9
8,29,(+4(+(*(*4(+4(*0(+04))))4)9)),77,7,(od(o(o(od(od(od(odd))))d)d)),____________________4046_4_37
4,13,(+5(*(*88)3)),197,7,(od(o(odd)d)),_________4_27
3,9,(+5(*99)),86,6,(od(odd)),_______16
4,13,(*5(*9(*11))),45,5,(od(od(odd))),__________195
1,1,0,0,0,d,_
9,53,(*(+(*(*(*65)(+(+3(+(+60)1))(*1(+15))))(*(+88)0))2)4),8,8,(o(o(o(o(odd)(o(od(o(odd)d))(od(odd))))(o(odd)d))d)d),____________0___________6_70_______6660______6_00_2_8
5,17,(+(*0(+9(+22)))9),9,9,(o(od(od(odd)))d),____________430_9
2,5,(+00),0,0,(odd),____0
1,1,0,0,0,d,_
4,13,(+5(*(*08)8)),5,5,(od(o(odd)d)),_________0_05
10,65,(+(*(*5(+26))(*50))(*(*(*(+7(+3(+(+3(*02))1)))(*1(+45)))(*49))0)),0,0,(o(o(od(odd))(odd))(o(o(o(od(od(o(od(odd))d)))(od(odd)))(odd))d)),___________80____00_____________________03_474_______996____66_00
9,53,(*(*(+1(*(+05)(+(+3(+(+60)1))(*1(+15)))))(*(+88)0))2),0,0,(o(o(od(o(odd)(o(od(o(odd)d))(od(odd)))))(o(odd)d))d),_____________5___________6_70_______66601______6_00_0
2,5,(*72),14,4,(odd),____4
3,13,(*(*87)(+88)),896,6,(o(odd)(odd)),______6____66
5,17,(+(*0(+9(+32)))9),9,9,(o(od(od(odd)))d),____________540_9
2,5,(*02),0,0,(odd),____0
6,21,(+(+2(+(+1(*08))5))7),15,5,(o(od(o(od(odd))d))d),______________01_68_5
3,9,(*9(*68)),432,2,(od(odd)),_______82
7,29,(+(*0(*(*(+04)(*0(+00)))4))9),9,9,(o(od(o(o(odd)(od(odd)))d))d),_____________4_______000_00_9
1,1,6,6,6,d,_
1,1,8,8,8,d,_
3,13,(*(*93)(+80)),216,6,(o(odd)(odd)),______7____86
3,9,(*2(*45)),40,0,(od(odd)),_______00
4,17,(*(+(*33)1)(+88)),160,0,(o(o(odd)d)(odd)),________9_0____60
6,25,(*(+6(*(+(+00)1)(+01)))0),0,0,(o(od(o(o(odd)d)(odd)))d),_____________0_1____117_0
5,25,(+(*(+(+42)4)8)(+6(+11))),88,8,(o(o(o(odd)d)d)(od(odd))),__________6_0_0_______288
7,33,(*(*0(*9(+(*89)(*(+50)(*29)))))9),0,0,(o(od(od(o(odd)(o(odd)(odd)))))d),______________2______5____80280_0
